Hotel_Description,Hotel_Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude,Hotel_Type
Guest Houses,GIMAN FREE BEACH RESORT,"KEERIKUDA,KAYANKERNI, NORTH PASSIKUDAH.",14,A,Batticaloa,Batticaloa,Koralai Pattu Divisional Secretariat,81.54014,7.986431,Budget
Guest Houses,NILAVELI BEACH RESORT,"WARD NO:04,VALAIYOOTHU,IRAKKAKANDY",8,A,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,NULL,NULL,Luxury
Guest Houses,BLUE MERIDIAN HOTEL,"3RD FLOOR, MC PLAZA,KURUNEGALA",12,B,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat,NULL,NULL,Luxury
Guest Houses,NEW NATIONAL RESTAURANT AND GUEST HOUSE,"39,BERA ROAD,GUNASINGHEPURA,COLOMBO 12.",5,B,Colombo,Colombo,Colombo Divisional Secretariat,NULL,NULL,Comfort
Guest Houses,THE SPICE TRAIL,"69TH, MILE POST, ARUGAMBAY, POTTUWIL",5,B,Ampara,Pottuvil,Pottuvil Divisional Secretariat,81.831108,6.848832,Comfort
Guest Houses,MUTHUMINI LAGOON RESORT,"NO:16,GALLE ROAD, MORAGALLA, ALUTHGAMA",24,A,Kalutara,Beruwala,Beruwala Divisional Secretariat,NULL,NULL,Budget
Guest Houses,THE GLENROCK,"ULUGALATENNA, IHALAGALAGAMA, BELIHULOYA.",3,A,Ratnapura,Ratnapura,Imbulpe Divisional Secretariat,NULL,NULL,Budget
Guest Houses,BIRDS PARK,"WADAWA, WADAKADA, POLGAHAWELA",6,B,Kurunegala,Alawwa Pradeshiya Sabha,Alawwa Divisional Secretariat,80.259805,7.38372,Luxury
Guest Houses,THEJAN BEACH CABANAS,"GALLE ROAD, YALEGAHA, INDURUWA",5,A,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,80.0096,6.381882,Luxruy
Guest Houses,SENMIL HOLIDAY INN,"NIWASA PEDESA, LAXAPANA",7,B,Nuwara Eliya,Ginigathhena,Ambagamuwa Divisional Secretariat,80.489062,6.925742,Comfort
Guest Houses,OREEKA HOTEL,"NO.482, IVAN DE SILVA MAWATHA, KANDAWALA, KATANA.",6,B,Gampaha,Katana Pradeshiya Sabha,Katana Divisional Secretariat,NULL,NULL,Comfort
Guest Houses,MUDUNA WALAWWA RESORT,"NO.451, SRIMATH KUDARATHWATTA MAWATHA, KANDY",10,A,Kandy,Kandy,GANGAWATA KORALAYA,80.616018,7.29102,Budget
Guest Houses,MADOLDU ECO RESORT,"GINIWELLA, KATHALUWA, AHANGAMA",5,B,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,NULL,NULL,Budget
