Name,Address,District,AGA Division,PS/MC/UC,,,,
AATHIKA HAJ TRAVELS,"NO.18/1, MATALE ROAD, KATUGASTOTA, KANDY",Kandy,Kandy,Kandy Divisional Secretariat,,,,
CEYLINE TRAVELS (PVT) LTD,"NO.01, ALFRED HOUSE AVENUE, COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
BENCHMARK HOLIDAYS,"NO. 290, D. K. WIJEWARDANA MW, COLOMBO 10",Colombo,Colombo,Colombo Divisional Secretariat,,,,
A BAUR & CO. (TRAVEL) LTD,"NO. 05, UPPER CHATHAM STREET, COLOMBO 01",Colombo,Colombo,Colombo Divisional Secretariat,,,,
AIR MARK TRAVELS & TOURS (PVT) LTD,"NO.94, CHATHAM STREET, COLOMBO 01",Colombo,Colombo,Colombo Divisional Secretariat,,,,
LUXE ASIA (PVT) LTD,"NO.272,VAUXHALL STREET,COLOMBO 02.",Colombo,Colombo,Colombo Divisional Secretariat,,,,
I TRAVEL (PVT) LTD,"NO.66/12, GREEN PATH, COLOMBO 03",Colombo,Colombo,Colombo Divisional Secretariat,,,,
MALDIVIANA HOLIDAYS (PVT) LTD,"NO. 64A/1, MODARAWELLA, MARAWILA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
L.T.O. HOLIDAYS (PVT) LTD,"01-02, WEST GROUND FLOOR, WORLD TRADE CENTER, COLOMBO 01",Colombo,Colombo,Colombo Divisional Secretariat,,,,
AR TRAVELS & TOURS,"NO.310/2A1/1, GEORGE R DE SILVA MAWATHA, COLOMBO 13",Colombo,Colombo,Colombo Divisional Secretariat,,,,
COUNTRY FEELING HOLIDAYS (PVT) LTD,"NO.58A, CAHRLES PLACE, RAWATHAWATTE, MORATUWA",Colombo,Moratuwa,Moratuwa Divisional Secretariat,,,,
N P S TRAVELS (PVT) LTD,"2ND FLOOR, LANKAMATHA BUILDING, CHILAW ROAD, WENNAPPUWA",Gampaha,Wennappuwa Pradeshiya Sabha,Wennappuwa Divisional Secretariat,,,,
